time,num_bytes,total_bytes
2.02,56,56
2.02,56,112
2.03,56,168
2.03,56,224
2.04,56,280
2.04,52,332
2.04,4,336
2.05,56,392
2.05,56,448
2.06,56,504
2.06,56,560
2.07,56,616
2.07,56,672
2.08,56,728
2.08,56,784
2.09,56,840
2.09,56,896
2.1,56,952
2.1,56,1008
2.11,56,1064
2.11,56,1120
2.11,56,1176
2.12,56,1232
2.12,56,1288
2.13,56,1344
2.13,56,1400
2.14,56,1456
2.14,56,1512
2.15,56,1568
2.15,56,1624
2.16,56,1680
2.16,56,1736
2.17,56,1792
2.17,56,1848
2.18,56,1904
2.18,56,1960
2.19,56,2016
2.19,56,2072
2.2,56,2128
2.2,56,2184
2.21,56,2240
2.21,56,2296
2.22,56,2352
2.22,56,2408
2.23,56,2464
2.23,56,2520
2.24,56,2576
2.24,56,2632
2.25,56,2688
2.25,56,2744
2.26,56,2800
2.26,56,2856
2.27,56,2912
2.27,56,2968
2.28,56,3024
2.28,56,3080
2.28,56,3136
2.29,56,3192
2.29,56,3248
2.3,56,3304
2.3,56,3360
2.31,56,3416
2.31,56,3472
2.32,56,3528
2.32,56,3584
2.33,56,3640
2.33,56,3696
2.34,56,3752
2.34,56,3808
2.35,56,3864
2.35,56,3920
2.36,56,3976
2.36,56,4032
2.37,56,4088
2.37,56,4144
2.38,56,4200
2.38,56,4256
2.39,56,4312
2.39,56,4368
2.4,56,4424
2.4,56,4480
2.41,56,4536
2.41,56,4592
2.42,56,4648
2.42,56,4704
2.43,56,4760
2.43,56,4816
2.44,56,4872
2.44,56,4928
2.45,56,4984
2.45,56,5040
2.46,56,5096
2.46,56,5152
2.46,56,5208
2.47,56,5264
2.47,56,5320
2.48,56,5376
2.48,56,5432
2.49,56,5488
2.49,56,5544
2.5,56,5600
2.5,56,5656
2.51,56,5712
2.51,56,5768
2.52,56,5824
2.52,56,5880
2.53,56,5936
2.53,56,5992
2.54,56,6048
2.54,56,6104
2.55,56,6160
2.55,56,6216
2.56,56,6272
2.56,56,6328
2.57,56,6384
2.57,56,6440
2.58,56,6496
2.58,56,6552
2.59,56,6608
2.59,56,6664
2.6,56,6720
2.6,56,6776
2.61,56,6832
2.61,56,6888
2.62,56,6944
2.62,44,6988
